task_type,subject_importance,deadline_days,estimated_time,difficulty,urgency_self,energy_required,self_reported_procrastination,completion_status,actual_time_vs_estimate,energy_at_attempt,priority
Assignment,Optional,6.777201803645645,34.74353606661113,3.7156698106948554,2.1784612350153605,Low,1.1748746619873827,Completed but late,Less than estimated,Low,High
Revision / Practice,Secondary,8.896904851529062,51.97859327061177,2.2994160766049814,4.6950913372013545,High,4.240274486057665,Completed on time,Less than estimated,High,High
Project,Optional,12.184229332652466,48.74972932507026,1.302896961090597,3.804140649863177,Low,3.4363699667563434,Completed on time,Less than estimated,High,Medium
Project,Optional,15.776611673185673,104.39391522038689,2.8968244925393485,1.2699045198372136,Medium,4.175337353751624,Started but not completed,Same as estimated,Medium,Medium
Revision / Practice,Secondary,1.661685896083931,56.539755469594084,4.981378702172054,1.1267598958278482,Low,2.2228424780346066,Completed but late,Slightly more,Medium,High
Project,Secondary,11.724098805245404,86.4811616680204,3.55359662323116,1.553992352363609,High,4.965489787891585,Completed but late,Slightly more,Medium,High
Project,Optional,2.2400079146467777,56.225137345123805,1.6225940318021728,1.7806466168136632,Low,2.5412097446525177,Started but not completed,Much more,Low,Low
Revision / Practice,Optional,17.386162432560866,107.38764218775316,1.5134997550886076,2.344258475663188,Low,4.298177276345729,Completed but late,Less than estimated,Low,High
Exam Preparation,Core,17.98125133426822,62.481039625159056,2.3854866089452207,2.566195145965034,Low,4.5941418332003945,Did not start,Slightly more,Low,Low
Revision / Practice,Optional,9.729886805329324,68.58159552668617,3.927749681467438,3.634207011483268,High,1.4548941097815278,Completed on time,Less than estimated,Low,Low
Exam Preparation,Optional,12.908113316778492,31.129698411661916,3.4538205346402373,4.163440519053901,High,3.732497526822623,Completed but late,Same as estimated,Medium,Medium
Exam Preparation,Secondary,11.055129593379863,108.9428879002985,1.3294354487454818,4.788436915793202,High,2.1306044763490033,Completed on time,Slightly more,High,Low
Revision / Practice,Optional,12.699666555170204,39.49398982528804,1.4585148829708428,1.2206031676371163,Medium,2.7637928416894537,Started but not completed,Slightly more,High,Low
Revision / Practice,Core,5.463576062795195,65.84016779768012,1.3511790305586024,3.372251937020748,Low,4.210882829316406,Completed but late,Less than estimated,Medium,Low
Revision / Practice,Core,4.23753453090341,57.992845723077416,2.592329416402045,2.2144618227823742,Low,1.0084763080079928,Completed but late,Less than estimated,Medium,Low
Project,Core,12.704181340961922,60.94105364024166,3.5630289160892255,4.4686361881128045,Medium,1.5971317919020525,Started but not completed,Slightly more,Low,High
Revision / Practice,Secondary,16.3833606521353,47.01682911881152,3.9771434721796193,1.0176004222791732,High,1.9171464543044845,Completed but late,Less than estimated,Medium,Low
Exam Preparation,Core,5.8154369441931,68.30000547590109,3.6000305748996553,3.754403413067784,Low,3.729112680901972,Completed on time,Slightly more,Low,High
Project,Core,3.305550718316763,67.50429124526232,4.085393626920741,2.7264876828850015,Low,2.5400865705122357,Completed but late,Less than estimated,High,Medium
Revision / Practice,Optional,16.985579721267925,43.2386166203775,1.702901183935467,4.963054816390359,High,2.0032780380333355,Started but not completed,Same as estimated,Low,Medium
Exam Preparation,Optional,11.09973787864611,55.089228094466236,2.720012780743716,2.245721614549357,Medium,4.025285929715906,Completed but late,Same as estimated,Low,Medium
Revision / Practice,Core,14.976608716664039,56.39854040888721,1.9712185622488225,4.249080936134588,Medium,4.214111214103932,Started but not completed,Same as estimated,Medium,Low
Revision / Practice,Secondary,4.893788586391548,49.64273766033706,3.633829298683061,4.475360474219435,High,3.587446322859751,Did not start,Same as estimated,High,High
Reading / Notes,Core,14.681680289454766,96.21899432805544,2.232142386625472,2.770877187607742,High,2.3425214498438955,Did not start,Same as estimated,Low,High
Reading / Notes,Core,17.12499869425782,51.34775317946662,1.6029207561785923,3.9361795066409044,High,1.1576402607704526,Completed but late,Much more,Medium,Low
Revision / Practice,Optional,15.608383221514902,112.05996545628231,1.0803793954899694,4.0767331842246985,Low,1.9894512834786866,Completed on time,Slightly more,High,High
Reading / Notes,Secondary,19.07562311450128,82.8736612856118,2.621993875725375,1.2257247934833817,Low,3.2278853255379847,Completed on time,Same as estimated,High,Low
Reading / Notes,Optional,4.776053161386238,98.18472243594434,1.685271657085139,1.686329691608866,Low,2.396316014416942,Completed but late,Slightly more,Low,High
Exam Preparation,Secondary,6.519877834203598,56.78845340042258,3.8669993300750862,4.1222347995610145,High,1.2438359385650477,Completed but late,Much more,High,High
Assignment,Optional,8.386919875301913,50.140444838658865,3.1790579776930494,4.299546876195594,Medium,2.2776581482036846,Completed on time,Much more,Low,Medium
Project,Core,7.130801180565085,109.31193365281418,4.6008559511330525,2.1143912938890126,Medium,4.44898651477777,Completed but late,Less than estimated,Low,High
Exam Preparation,Optional,8.36222658394568,38.37610789279567,1.289107473914651,2.7008376195892194,Medium,4.379761172749664,Completed on time,Much more,Low,Low
Revision / Practice,Secondary,4.323353657243516,67.42432710350215,3.5679814094512565,4.060512945911698,Low,3.9395724969834425,Completed but late,Much more,Medium,High
Exam Preparation,Secondary,9.893837288650731,94.19931404826076,2.8300751747465926,4.319379281448555,Medium,2.823744554928904,Started but not completed,Much more,High,High
Exam Preparation,Secondary,6.197142598528725,68.35226769054053,4.615135906664579,1.3346208864015705,Medium,1.6925406832662482,Started but not completed,Less than estimated,Low,Medium
Assignment,Secondary,5.838716388641028,110.12601819097297,3.8770033613550217,1.128355467517001,Medium,1.6805716406743523,Started but not completed,Same as estimated,Medium,Low
Project,Optional,3.2209086076275772,55.28390798733808,1.5110214062303688,2.136417542513493,Medium,3.1260737208431553,Did not start,Same as estimated,Low,Medium
Assignment,Optional,5.244527111537602,106.91403514158961,2.907887109940718,2.443518065787554,High,2.012166141159067,Did not start,Much more,Low,Low
Reading / Notes,Optional,18.673402799620046,66.99978776633029,1.9373726124670045,1.2665983221051196,Low,2.2239650771371764,Completed on time,Slightly more,High,High
Reading / Notes,Secondary,4.210942992917033,114.71083952524498,3.776319189741101,2.6794317456677925,Medium,4.727309336655793,Completed but late,Same as estimated,High,High
Project,Secondary,11.096168933907904,67.00982031268124,3.4865613309756975,2.351843455855886,Low,1.082805102485053,Started but not completed,Same as estimated,Low,Low
Reading / Notes,Secondary,17.241830709601004,32.06926453151325,1.4648836511981123,2.004799425946651,High,1.4532335573522683,Started but not completed,Same as estimated,Low,High
Project,Core,3.806388922251558,63.32312385980591,2.953123429622714,4.114093036197957,Low,3.537504463417806,Started but not completed,Much more,Low,High
Assignment,Optional,2.3294029697115737,79.152819183862,2.289771288244963,3.150962102844555,Low,2.1866310152420603,Completed on time,Much more,Low,Low
Project,Secondary,3.704008656522313,33.392207925076605,3.5784066410819317,2.116036478516964,Low,4.768805439719332,Did not start,Less than estimated,Low,Low
Exam Preparation,Optional,6.209983989637706,86.30046725397887,2.61826109721646,3.0393035343829014,Low,3.4191236045628988,Started but not completed,Less than estimated,High,Low
Exam Preparation,Secondary,5.430315713798313,101.72757227606635,2.220388596081724,4.415360556306817,Low,4.530461795703937,Completed but late,Same as estimated,Low,Medium
Assignment,Optional,11.301368150260068,47.49765123454759,3.1177814418989223,4.440063930260161,High,1.7061048794252107,Did not start,Less than estimated,Medium,High
Revision / Practice,Core,14.347406986977877,85.09488926521044,3.971043607905803,1.260484672447213,Medium,4.289998507028079,Completed but late,Same as estimated,High,High
Revision / Practice,Core,4.472888193857722,81.43213432894584,3.411753097494163,2.1123483420744718,High,2.650286063974873,Did not start,Slightly more,High,High
Reading / Notes,Optional,15.592947992857148,83.49739393464641,3.4298362418263246,3.8343258959186226,High,1.1447735795070875,Started but not completed,Much more,Low,High
Assignment,Secondary,0.6821677510540636,73.12880802163349,2.161999843152336,1.5481664664663617,Medium,3.2790895791009262,Completed but late,Much more,Medium,High
Exam Preparation,Secondary,0.9744773293779296,104.1598145259246,4.962162478823385,4.587044519402781,Low,4.185256887818786,Did not start,Slightly more,Medium,High
Assignment,Optional,19.192572835803226,60.48014277618435,2.7447308456472617,2.2486759538183776,Medium,4.349447434645345,Did not start,Slightly more,Low,Medium
Assignment,Core,0.2807183337523278,111.09876767411981,4.334121653518176,3.623760907486659,High,3.365366980450306,Completed on time,Less than estimated,High,Low
Project,Core,11.3736575993435,114.29162532537651,2.0590772605617773,1.457331537253062,Medium,4.348461089485136,Started but not completed,Less than estimated,High,Medium
Exam Preparation,Secondary,11.250281182281743,105.25348767467985,4.2997755755890115,4.478080042561008,Medium,3.5238802574028476,Did not start,Much more,High,Low
Revision / Practice,Optional,3.7204386775018317,99.57667273808444,3.528353060171789,2.839090794726013,Low,1.4429768243404606,Completed but late,Slightly more,High,Medium
Reading / Notes,Optional,15.702204792142464,67.54610713026219,2.91184852396853,1.73466291680722,High,4.28602466669302,Did not start,Slightly more,Low,Low
Reading / Notes,Secondary,19.169132010625745,107.42631181483202,2.6781933089620082,2.3692434713412576,Low,3.447277973236263,Did not start,Much more,Low,Low
Exam Preparation,Secondary,19.815576854881513,58.69295781148824,1.7271622912654339,3.5934389664949227,Low,4.255508048445106,Did not start,Slightly more,High,High
Revision / Practice,Optional,15.063992232096128,119.84574873499713,4.575382502227337,1.2908236361138221,Medium,4.343635816671666,Completed on time,Less than estimated,Medium,High
Exam Preparation,Optional,16.684603043481925,100.22717455432438,4.428565371924419,3.9804592341866565,Low,4.850814062644904,Completed but late,Same as estimated,High,Low
Exam Preparation,Optional,3.3107525947379024,53.12210820069409,1.5438953398321673,1.9907976875364595,High,1.0679715994209293,Completed on time,Same as estimated,Medium,Low
Assignment,Optional,19.429025123708257,102.40395633440377,1.6458056188609298,3.3624978369877763,Medium,1.4663489734079618,Completed but late,Same as estimated,Medium,Medium
Revision / Practice,Secondary,7.784848294734479,106.70477865103709,1.3715054884345963,1.0860054817423124,Medium,1.0296215959144481,Started but not completed,Less than estimated,Medium,High
Exam Preparation,Secondary,10.5221990508094,108.32273572361017,1.441889350454269,2.8268062254790305,Medium,2.98161597343517,Completed but late,Same as estimated,Low,Medium
Assignment,Secondary,14.534915170416035,95.6487486714049,1.382394205723374,3.394219018345367,High,1.802293021494671,Started but not completed,Less than estimated,High,High
Revision / Practice,Optional,13.397804604110199,119.64648089465226,2.66416635939002,3.6195080970054683,Low,1.2879666657539244,Did not start,Slightly more,Low,Low
Project,Core,11.096950246084392,67.24199446486705,2.5540864840137334,4.836426488799889,High,3.9697998629373137,Completed on time,Slightly more,High,Low
Exam Preparation,Secondary,13.338978527190035,82.92880414410467,3.895362112407766,1.2613400303211333,High,1.1827502032259463,Did not start,Much more,High,Low
Reading / Notes,Optional,4.468382599974092,84.05420337120219,4.9051870564683835,4.434577424238958,Medium,1.8058951343910166,Completed on time,Slightly more,Medium,High
Assignment,Optional,3.9548503078865194,83.12858720882602,1.747077505064989,3.786116331305106,Medium,4.095988382641099,Did not start,Much more,Medium,Low
Assignment,Core,5.4475977919488905,48.107980445774764,4.897290709914769,4.86534254582835,Medium,3.9848826457895883,Did not start,Same as estimated,High,High
Exam Preparation,Secondary,12.46873502513205,55.733726961570014,4.54996077126453,4.616846211696567,High,2.3427524702021483,Started but not completed,Slightly more,High,High
Project,Optional,7.782692705919936,114.05386695821754,1.205387934736751,1.3399143874967345,Medium,4.03707557093588,Started but not completed,Same as estimated,High,High
Revision / Practice,Core,2.4999476256142894,55.665740411505325,1.4476448360470449,3.50779322171097,High,4.641614576603792,Completed but late,Less than estimated,High,Medium
Exam Preparation,Optional,9.27185678849794,67.38798823513325,2.741874233653098,4.102415426078677,Low,2.783651026510096,Did not start,Less than estimated,Medium,Medium
Project,Optional,7.953701712262092,108.6905947518009,3.7082221809918843,1.8092226412741264,High,3.6679068058998525,Did not start,Slightly more,Medium,Medium
Revision / Practice,Optional,2.3862075247305348,67.21862297928672,2.415740959818017,1.0567101501960692,Medium,2.431114203676085,Completed but late,Much more,Medium,Medium
Exam Preparation,Optional,5.9322145394227395,38.84577774127894,3.231268866566012,3.733735036712996,Medium,2.7297034761329817,Completed but late,Less than estimated,Medium,High
Reading / Notes,Core,17.660087037019377,60.09328741222605,3.2419900721262134,2.228232848235162,Medium,4.250063204077945,Completed but late,Slightly more,Medium,Medium
Assignment,Secondary,3.7753156565810952,87.95805276322346,1.3944671524894345,1.7835248160231352,Medium,1.8975910123206225,Did not start,Same as estimated,High,Low
Revision / Practice,Core,4.509339043805422,112.08917059287954,3.313419192352749,1.177175346317095,Low,2.49059510599976,Started but not completed,Slightly more,Low,Medium
Assignment,Core,4.6706102275559,62.54518693091344,4.7966859761635146,3.378938030189774,Low,3.1813444454268414,Completed but late,Much more,High,Low
Project,Optional,8.14394941583637,60.79021543907964,2.2194922700682604,1.9179273698929418,Medium,1.5311947193188953,Completed but late,Slightly more,Medium,High
Assignment,Optional,7.5257038930319915,92.62561376917594,1.2437731566149406,3.3170774540084476,Medium,2.447184235530374,Did not start,Much more,Medium,Medium
Project,Secondary,12.777987674909584,74.08335265180838,1.8867297941244696,4.134747054036941,Medium,3.359701994481698,Completed but late,Much more,High,Low
Reading / Notes,Secondary,10.67617584586402,81.0990812874843,2.5734553644230282,2.2945100508689764,Low,3.185946417628788,Completed on time,Much more,Low,Medium
Reading / Notes,Optional,3.7623616689073924,108.011485816673,1.4263660966226817,4.719545665914941,High,1.593012038749229,Completed but late,Slightly more,Low,Low
Assignment,Optional,13.969861357612658,103.9492259821673,2.6192648113348014,1.7689103586238613,Low,4.130518451931084,Did not start,Slightly more,Low,Medium
Project,Core,0.7216412824632013,36.596038967236936,4.901751986890185,4.5565660509665955,High,3.3330066828977487,Completed but late,Less than estimated,High,Medium
Revision / Practice,Optional,0.2821721816314082,45.11461022937081,4.576926031965626,1.3355096432179274,Medium,4.837037384177205,Started but not completed,Less than estimated,Low,Medium
Assignment,Core,18.777794086714895,75.69331897989844,1.0534106948594664,4.080821126405557,Low,1.0112086183831575,Did not start,Same as estimated,High,High
Project,Optional,1.7845152962491717,69.25158754970602,2.972103339651541,3.7633595654832446,High,2.2016288172686034,Completed on time,Slightly more,High,High
Assignment,Core,17.268281654200134,95.43173590240163,2.748432007563172,2.787278993014004,High,3.859260427490407,Did not start,Slightly more,High,Low
Project,Optional,11.180602902627022,84.66314851868398,4.662951758101892,2.1839844584852814,Medium,1.2056309488541426,Completed but late,Less than estimated,Low,High
Exam Preparation,Core,6.928045519902284,37.66494882494075,2.0642997923399333,4.070923293510015,High,1.0951262017636836,Started but not completed,Less than estimated,Medium,High
Exam Preparation,Secondary,19.44991486193051,86.68920530482197,1.9757048318748138,1.1415622597595796,Medium,1.520783803225373,Started but not completed,Much more,Low,High
Reading / Notes,Optional,10.296123699425285,111.40630298435528,4.291945230023654,2.9633205786966546,Medium,1.0253575284608418,Started but not completed,Much more,Low,Low
Reading / Notes,Secondary,6.696792510184095,57.392753722957906,3.9021749523222304,4.668604979681765,High,2.8802020324760367,Completed but late,Less than estimated,High,High
Reading / Notes,Core,17.198490473611287,67.97521982841769,3.836545384348641,3.8532446910284963,High,3.680471224421523,Completed on time,Less than estimated,Low,Low
Project,Core,17.138620228855423,114.59581504255178,2.8107098121987426,2.8276409557665363,Medium,2.2981542434676885,Completed on time,Less than estimated,Low,Low
Assignment,Optional,10.699682056207164,66.81768527683343,1.618862832651513,3.9288135249362877,Medium,1.1408181358820086,Did not start,Much more,Medium,High
Assignment,Core,2.7031985889011967,48.81446732943641,3.159770209548693,2.1511247104541744,Low,2.745943300881246,Did not start,Much more,Low,High
Project,Optional,18.84574370547107,49.84159869307418,1.7612085899480343,2.2765249095231836,High,2.0317384202431463,Started but not completed,Much more,High,Medium
Assignment,Core,2.5731340417507553,97.89924889476002,4.117596071561522,4.301499913441969,Medium,3.4365622381332352,Completed on time,Same as estimated,Low,Medium
Revision / Practice,Core,14.391531454647664,65.80676222254314,2.9646941307770973,2.493366108731555,Medium,4.378925561417709,Completed but late,Less than estimated,Medium,Medium
Exam Preparation,Optional,4.2360305239404905,104.29382734523139,2.1594285829489515,3.0534019916315804,Low,2.0417307054301954,Completed on time,Less than estimated,High,Medium
Reading / Notes,Secondary,19.063388518442142,69.67290694697837,1.0710439973666812,1.4564847586247511,Medium,1.6763397184659432,Started but not completed,Slightly more,Low,High
Reading / Notes,Secondary,4.159674292451738,91.22285360895957,4.83538628888284,3.3459957755319,High,4.691565943391722,Did not start,Less than estimated,High,Medium
Exam Preparation,Core,6.2587632704569245,62.4755249811678,3.545094828186882,2.7463011727191535,High,2.082813800096453,Completed but late,Slightly more,Medium,High
Exam Preparation,Core,19.77990564702037,41.091796954308116,3.1921253288451505,1.1326542697379205,Medium,2.9413398341791686,Started but not completed,Much more,Medium,Low
Exam Preparation,Secondary,18.927358249988377,119.25429240696415,3.3079653686979773,2.161438188381873,Low,4.0898313452388475,Did not start,Same as estimated,High,High
Revision / Practice,Core,0.6146731197588329,56.03757514045484,2.749445962137664,3.6677840483746995,Medium,1.4936213033174477,Started but not completed,Less than estimated,High,Low
Reading / Notes,Core,0.6694919668068033,117.92419280348352,4.076821918665963,4.27782862459286,Medium,2.1794092312653266,Did not start,Slightly more,High,Low
Reading / Notes,Secondary,10.150777299845187,72.98167704426129,1.2976653748683655,3.8175571743318217,Medium,4.590834076665365,Completed but late,Slightly more,Low,Low
Assignment,Core,3.532688504267063,88.21738750985935,1.642949795254573,4.941928930052971,Low,3.0629477317204286,Completed but late,Less than estimated,Medium,High
Exam Preparation,Optional,10.197140107672764,68.23497654805968,2.954614067999725,4.205091122374464,Medium,3.526885814176524,Did not start,Much more,Medium,Medium
Project,Secondary,8.493468340073452,88.6700866007917,2.045924402824526,4.795799167402961,High,3.893971036729887,Completed on time,Same as estimated,Medium,High
Revision / Practice,Optional,7.294048802951616,48.01056075820747,4.934771978330904,4.965026282042427,High,3.3656030796402923,Did not start,Same as estimated,Medium,Low
Revision / Practice,Core,4.792623053363016,97.40958232680856,3.522099847936555,4.928562301559436,High,4.071078590345912,Did not start,Less than estimated,Medium,High
Revision / Practice,Core,3.3765429442252093,46.09206448527888,3.537093927943548,1.2340863339728405,High,4.653513088083183,Started but not completed,Same as estimated,Medium,Low
Revision / Practice,Core,18.31606794294129,88.67306482456158,3.8379483710660205,3.7253439079191897,Medium,1.816878290853901,Did not start,Same as estimated,Low,Medium
Exam Preparation,Optional,18.28677925865002,46.21162546197688,3.753807611851242,4.3987680381844765,High,3.2142153488769973,Completed on time,Much more,Medium,Medium
Assignment,Core,15.488988377391903,51.98123541368049,1.486127244577593,3.482199380182703,Low,4.206905670688723,Started but not completed,Much more,Low,Medium
Reading / Notes,Optional,19.1972169516972,101.93627528453082,1.1675024196157548,1.6144316187833767,Medium,4.377825080906753,Completed but late,Much more,Medium,High
Project,Secondary,5.601966879491775,62.25713299253049,1.6108448347381463,3.0570498451256745,Low,3.597139131037042,Completed on time,Less than estimated,Low,High
Revision / Practice,Secondary,15.498063514869143,102.55716444592308,4.905335548129948,4.258827069540095,Medium,4.864410211536378,Completed on time,Less than estimated,Medium,Low
Reading / Notes,Secondary,14.022210925603469,59.2859888635762,4.496057611523188,4.851255327249239,High,4.596182812460718,Completed on time,Much more,Medium,High
Revision / Practice,Core,15.31016627333738,49.33187125174384,3.099413125093755,2.0725233454608945,High,2.976429067818806,Completed but late,Slightly more,Low,Medium
Exam Preparation,Secondary,5.404856744012094,45.010684772725384,4.006699911019876,4.6888172169985305,Medium,3.884717175964108,Started but not completed,Same as estimated,High,Medium
Assignment,Core,15.667590983295813,90.96469786664713,1.8862279693501889,1.8691454491145416,High,2.8522876034517055,Did not start,Slightly more,Low,Low
Revision / Practice,Optional,18.611254046604497,92.07245959459283,3.0686319024910755,2.1748323648573056,Medium,3.6382159473629985,Did not start,Slightly more,High,High
Revision / Practice,Optional,18.336526470163694,76.71578810604599,2.5312837920711937,3.8281889256624315,Medium,2.6903673475981944,Did not start,Same as estimated,High,High
Reading / Notes,Secondary,11.850904251126446,35.10502862367508,3.9501755201870536,3.6036523437521697,Low,1.5196461478663372,Did not start,Same as estimated,Medium,High
Project,Optional,3.2885285062982117,40.935366035801636,3.425439659434388,3.0403131791603966,High,3.8595535689034968,Completed but late,Same as estimated,Low,Low
Exam Preparation,Secondary,17.250569900190953,109.64321821260809,4.147796504417084,2.0477655325534485,Low,1.734998337669459,Did not start,Same as estimated,Medium,High
Reading / Notes,Optional,6.29856845191928,38.473865264535604,3.2702964936263945,3.094460547438369,Medium,1.490855890944578,Completed but late,Less than estimated,Low,High
Assignment,Core,2.191587555290566,117.93245908771893,1.8521302782172033,3.2221036575440234,Medium,1.4177578829006778,Started but not completed,Less than estimated,High,High
Assignment,Secondary,16.838888050187002,88.378335970774,3.9635395298330693,4.923420472002693,Medium,1.5291793385495174,Completed on time,Much more,Medium,High
Project,Optional,19.308319151799907,40.86573514817839,3.695755648691854,2.0627962267215185,Medium,1.760822963822363,Started but not completed,Same as estimated,Medium,Low
Assignment,Optional,14.99238993758224,30.205155137770852,4.1608644952544855,2.6240855391499798,High,1.4778158147281077,Completed on time,Same as estimated,Medium,High
Reading / Notes,Secondary,17.735632498840467,84.0286072279054,4.841041675252866,4.273148173830697,High,4.946526151101808,Completed but late,Same as estimated,Medium,Medium
Reading / Notes,Secondary,10.022609371189226,82.18677583096246,1.4826798653677464,3.041684762653207,Medium,4.681322815862435,Completed but late,Less than estimated,Medium,Low
Project,Secondary,4.378622367895484,46.82604787977702,3.3168787169208613,3.1527352566014484,Low,3.262043290288878,Completed but late,Much more,Low,Low
Exam Preparation,Core,0.13267233118301247,93.93274418768738,1.6744512478368851,4.796061008115431,Medium,1.2829927465016682,Did not start,Slightly more,High,High
Exam Preparation,Optional,15.08955763679859,102.11009249653257,3.277408819990358,1.550604370273514,High,4.26803580368192,Did not start,Less than estimated,High,Low
Assignment,Optional,8.180607315632262,93.241214215382,3.741057717384514,2.1519271796234474,High,2.7799759701951823,Did not start,Slightly more,High,Low
Project,Secondary,16.623024033432475,69.29721929510433,4.139848604840818,3.4306321081472055,High,2.0091611696529057,Did not start,Slightly more,High,Low
Reading / Notes,Optional,9.404625050577952,78.56183428802728,3.3306785914484647,2.305104972931321,Low,3.179564309848415,Started but not completed,Much more,Low,Low
Revision / Practice,Secondary,15.984826536068626,97.72014287728112,3.0999741901873334,4.844432146552889,Low,2.0551618658907578,Completed but late,Same as estimated,Medium,Low
Reading / Notes,Optional,19.438787270822917,100.18245323544754,3.4160795107553086,2.0437570040732123,High,2.379507533047966,Completed on time,Less than estimated,High,Medium
Revision / Practice,Core,7.730501230384603,39.832371839984035,4.997006749315789,1.1735423100384827,High,3.5546069698724425,Did not start,Slightly more,High,Medium
Exam Preparation,Secondary,8.319496976363382,107.0161514373778,3.785734694233418,1.522204103078817,Low,2.4568467371176452,Did not start,Same as estimated,Medium,Medium
Project,Secondary,2.3959365569542945,62.33989537176079,2.722143039078483,1.376833910618045,Low,2.2055445043827855,Started but not completed,Slightly more,Low,Low
Reading / Notes,Optional,8.446054814241531,101.01637683470264,1.9388887309680292,4.996348669541825,High,3.6986618939624756,Completed but late,Less than estimated,Low,Low
Reading / Notes,Optional,8.911566961455733,110.49519843684187,4.270315302044649,1.590132082110797,Medium,4.669128349995514,Did not start,Same as estimated,Medium,Low
Reading / Notes,Core,2.0135937145934335,80.12457247844429,4.626480065225191,3.0550220909501773,High,3.3917082468229607,Did not start,Less than estimated,Low,Low
Revision / Practice,Core,0.5736317983782802,60.10150722968765,2.54613040233481,4.10899022963018,Low,1.7084275093140118,Did not start,Same as estimated,Medium,High
Exam Preparation,Secondary,14.216753075238094,97.11563825574419,4.8061619021624296,1.8863090785257364,Low,3.0014938227606427,Completed but late,Same as estimated,High,Low
Reading / Notes,Secondary,1.74353140519671,67.02095558080147,3.388178144109279,1.6421067776630487,Low,2.036401309212889,Did not start,Less than estimated,Low,Medium
Assignment,Optional,11.52053524052331,106.85295473817614,2.89675769402937,2.6095934479043423,Low,1.21516766838837,Completed but late,Less than estimated,Low,High
Exam Preparation,Optional,17.290812356516224,96.17650287781652,4.907217105707482,4.347984827309103,Medium,1.0035644811380973,Completed on time,Less than estimated,Low,Medium
Project,Optional,19.798301357910365,80.13516828968199,3.866881526602793,1.1473697641833986,Medium,1.4501555721506532,Completed on time,Much more,Low,High
Exam Preparation,Core,7.5987308816317345,79.73191980153547,2.730237253816111,2.6674395172039924,Medium,1.4053909950527852,Completed on time,Slightly more,Low,High
Exam Preparation,Core,16.491911503071954,112.4598365769604,1.9254423447901017,3.388036631850798,Medium,1.5107669186387818,Completed on time,Same as estimated,Medium,Medium
Revision / Practice,Secondary,2.795723004760975,108.87753094182273,4.642017449937048,4.49722791788955,Medium,2.5079846604128995,Completed on time,Slightly more,Low,High
Project,Core,4.693589192416954,106.50145478253516,2.5456757177544573,4.910487580951394,Low,1.332128805300972,Completed but late,Slightly more,High,Medium
Revision / Practice,Optional,6.264187875948711,111.577951007445,3.93480155337397,3.859185279878795,High,4.656895086316883,Did not start,Much more,Medium,Medium
Reading / Notes,Core,15.16367296435525,37.99553277917612,2.2117378747011913,4.093677163873438,High,3.139385816378579,Completed on time,Slightly more,Low,High
Project,Core,10.722380077815385,82.21159975222481,4.266516730085208,4.510803327562387,Medium,4.0855766562005,Started but not completed,Same as estimated,Low,High
Reading / Notes,Secondary,12.320841488635212,106.52818034760804,2.9915356880387627,1.85544862328925,Medium,4.84877040580399,Completed but late,Much more,Low,Low
Assignment,Optional,8.354631813738111,65.49568468644887,4.639332937800649,4.354883068821586,Medium,3.443823263753181,Completed but late,Less than estimated,Medium,Medium
Project,Core,9.312140509055215,87.02835339419818,2.721072762049127,3.7812747448368715,High,2.037981970795247,Did not start,Same as estimated,Medium,Medium
Reading / Notes,Secondary,17.47090260349622,47.492841113131774,4.7363742538741995,4.7937055372279165,Medium,1.7529457666135864,Started but not completed,Less than estimated,Low,Medium
Assignment,Optional,4.075216909662645,112.03537435838001,2.0882496609923704,1.3722227357120822,High,2.9786603315136233,Completed but late,Same as estimated,Medium,High
Project,Optional,3.2425006702221104,107.56443214380566,2.1711832773486686,4.80965539852421,Medium,2.7527093910278144,Completed on time,Less than estimated,Low,Medium
Revision / Practice,Secondary,1.777729073616603,105.33813060544736,3.6073698478023197,4.33038932965551,High,3.9115789212851135,Started but not completed,Same as estimated,High,Low
Reading / Notes,Secondary,18.210099304666322,111.922003135708,3.5303661076564814,3.268900761616351,High,4.986284499853723,Did not start,Slightly more,High,High
Exam Preparation,Secondary,6.940754928401807,66.36332723211649,1.7970046452484807,3.8500770805832167,Medium,2.2215204258141497,Did not start,Less than estimated,Low,Medium
Project,Core,9.690048781654102,91.04737669979949,4.29798409645383,2.4685192420432336,Medium,1.5735193461483536,Started but not completed,Slightly more,Low,High
Project,Core,2.9138648623230767,94.81465176939662,2.963324633221912,1.8942212076590286,Medium,2.9946128001037478,Started but not completed,Much more,Low,Low
Revision / Practice,Optional,6.303590541269251,63.07328035708435,2.753580159770795,4.926324405226785,High,4.606136015515807,Started but not completed,Much more,Medium,High
Exam Preparation,Secondary,9.114100609794644,84.8800512510573,4.807139368645595,4.98128046027802,High,2.420369098819456,Started but not completed,Less than estimated,Low,Medium
Revision / Practice,Core,19.371120667943515,85.28154070341125,2.427486167732049,4.7031689284668365,Low,4.26877458170455,Completed but late,Same as estimated,High,High
Assignment,Core,13.664490570903338,33.345559874969446,4.985066920432377,3.852934487278311,Medium,3.974709038121349,Started but not completed,Less than estimated,High,Medium
Revision / Practice,Optional,11.301030293170665,64.69743520180353,1.9055700784284064,1.1619144042613532,High,2.0442355642275793,Did not start,Less than estimated,Low,High
Revision / Practice,Optional,4.2562740315448355,93.34253435664277,2.07594890185477,3.6391021573122018,Medium,4.274285016469644,Completed but late,Much more,High,High
Revision / Practice,Core,19.74523020334272,75.56791893496705,4.497395290090047,1.2443903406971795,Medium,4.260588714702639,Completed on time,Much more,High,High
